New Case Trends - Maryland
Date generated: Tue Aug 04 2020 21:04:10 GMT-0400 (Eastern Daylight Time)

Date,New Cases,7-Day Moving Avg
Aug 3 2020,710, 904
Aug 2 2020,870, 895
Aug 1 2020,909, 932
Jul 31 2020,1019, 902
Jul 30 2020,1169, 940
Jul 29 2020,892, 906
Jul 28 2020,761, 873
Jul 27 2020,648, 854
Jul 26 2020,1128, 884
Jul 25 2020,694, 802
Jul 24 2020,1288, 835
Jul 23 2020,930, 771
Jul 22 2020,664, 739
Jul 21 2020,627, 737
Jul 20 2020,860, 755
Jul 19 2020,554, 737
Jul 18 2020,925, 717
Jul 17 2020,835, 677
Jul 16 2020,707, 637
Jul 15 2020,648, 602
Jul 14 2020,756, 594
Jul 13 2020,733, 552
Jul 12 2020,418, 518
Jul 11 2020,642, 497
Jul 10 2020,557, 447
Jul 9 2020,463, 421
Jul 8 2020,586, 432
Jul 7 2020,465, 420
Jul 6 2020,492, 405
Jul 5 2020,272, 379
Jul 4 2020,291, 408
Jul 3 2020,380, 413
Jul 2 2020,538, 407
Jul 1 2020,505, 378
Jun 30 2020,359, 369
Jun 29 2020,305, 365
Jun 28 2020,477, 379
Jun 27 2020,327, 353
Jun 26 2020,335, 356
Jun 25 2020,338, 367
Jun 24 2020,440, 364
Jun 23 2020,330, 338
Jun 22 2020,404, 371
Jun 21 2020,297, 367
Jun 20 2020,350, 372
Jun 19 2020,408, 379
Jun 18 2020,319, 419
Jun 17 2020,260, 433
Jun 16 2020,560, 501
Jun 15 2020,377, 501
Jun 14 2020,331, 518
Jun 13 2020,396, 533
Jun 12 2020,692, 546
Jun 11 2020,416, 549
Jun 10 2020,732, 620
Jun 9 2020,561, 640
Jun 8 2020,500, 676
Jun 7 2020,431, 725
Jun 6 2020,491, 742
Jun 5 2020,712, 781
Jun 4 2020,912, 826
Jun 3 2020,876, 878
Jun 2 2020,807, 937
Jun 1 2020,848, 927
May 31 2020,549, 882
May 30 2020,763, 924
May 29 2020,1027, 931
May 28 2020,1279, 938
May 27 2020,1286, 883
May 26 2020,736, 871
May 25 2020,535, 877
May 24 2020,839, 1193
May 23 2020,818, 1073
May 22 2020,1071, 1075
May 21 2020,893, 1063
May 20 2020,1208, 1090
May 19 2020,777, 1073
May 18 2020,2742, 1069
May 17 2020,0, 776
May 16 2020,836, 888
May 15 2020,982, 919
May 14 2020,1083, 929
May 13 2020,1091, 1106
May 12 2020,751, 950
May 11 2020,688, 992
May 10 2020,786, 995
May 9 2020,1053, 1159
May 8 2020,1049, 1152
May 7 2020,2322, 1002
May 6 2020,0, 917
May 5 2020,1046, 1045
May 4 2020,709, 1001
May 3 2020,1935, 989
May 2 2020,1001, 958
May 1 2020,0, 979
Apr 30 2020,1730, 979
Apr 29 2020,893, 858
Apr 28 2020,736, 868
Apr 27 2020,626, 846
Apr 26 2020,1721, 829
Apr 25 2020,1150, 780
Apr 24 2020,0, 721
Apr 23 2020,879, 721
Apr 22 2020,962, 708
Apr 21 2020,582, 678
Apr 20 2020,509, 674
Apr 19 2020,1376, 678
Apr 18 2020,736, 659
Apr 17 2020,0, 658
Apr 16 2020,788, 658
Apr 15 2020,752, 657
Apr 14 2020,560, 643
Apr 13 2020,536, 729
Apr 12 2020,1242, 699
Apr 11 2020,726, 653
Apr 10 2020,0, 601
Apr 9 2020,783, 662
Apr 8 2020,656, 600
Apr 7 2020,1158, 553
Apr 6 2020,326, 387
Apr 5 2020,920, 401
Apr 4 2020,367, 305
Apr 3 2020,427, 283
Apr 2 2020,346, 222
Apr 1 2020,325, 201
Mar 31 2020,0, 187
Mar 30 2020,421, 196
Mar 29 2020,247, 136
Mar 28 2020,218, 115
Mar 27 2020,0, 89
Mar 26 2020,194, 89
Mar 25 2020,231, 68
Mar 24 2020,61, 38
Mar 23 2020,0, 33
Mar 22 2020,98, 36
Mar 21 2020,41, 25
Mar 20 2020,0, 20
Mar 19 2020,42, 20
Mar 18 2020,22, 14
Mar 17 2020,28, 11
Mar 16 2020,20, 7
Mar 15 2020,25, 5
Mar 14 2020,0, 1
Mar 13 2020,0, 1
Mar 12 2020,0, 1
Mar 11 2020,3, 2
Mar 10 2020,0, 1
Mar 9 2020,6, 1
Mar 8 2020,0, 0
Mar 7 2020,0, 0
Mar 6 2020,0, 0
Mar 5 2020,3, 0
Mar 4 2020,0, 0
Mar 3 2020,0, 0
Mar 2 2020,0, 0
Mar 1 2020,0, 0
Feb 29 2020,0, 0
Feb 28 2020,0, 0
Feb 27 2020,0, 0
Feb 26 2020,0, 0
Feb 25 2020,0, 0
Feb 24 2020,0, 0
Feb 23 2020,0, 0
Feb 22 2020,0, 0
Feb 21 2020,0, 0
Feb 20 2020,0, 0
Feb 19 2020,0, 0
Feb 18 2020,0, 0
Feb 17 2020,0, 0
Feb 16 2020,0, 0
Feb 15 2020,0, 0
Feb 14 2020,0, 0
Feb 13 2020,0, 0
Feb 12 2020,0, 0
Feb 11 2020,0, 0
Feb 10 2020,0, 0
Feb 9 2020,0, 0
Feb 8 2020,0, 0
Feb 7 2020,0, 0
Feb 6 2020,0, 0
Feb 5 2020,0, 0
Feb 4 2020,0, 0
Feb 3 2020,0, 0
Feb 2 2020,0, 0
Feb 1 2020,0, 0
Jan 31 2020,0, 0
Jan 30 2020,0, 0
Jan 29 2020,0, 0
Jan 28 2020,0, 0
Jan 27 2020,0, 0
Jan 26 2020,0, 0
Jan 25 2020,0, 0
Jan 24 2020,0, 0
Jan 23 2020,0, 0
Jan 22 2020,0, 0
