New Case Trends - New Jersey
Date generated: Tue Aug 04 2020 21:07:33 GMT-0400 (Eastern Daylight Time)

Date,New Cases,7-Day Moving Avg
Aug 3 2020,264, 400
Aug 2 2020,321, 427
Aug 1 2020,369, 453
Jul 31 2020,690, 474
Jul 30 2020,204, 440
Jul 29 2020,471, 446
Jul 28 2020,483, 434
Jul 27 2020,449, 407
Jul 26 2020,505, 369
Jul 25 2020,513, 296
Jul 24 2020,458, 261
Jul 23 2020,242, 202
Jul 22 2020,389, 200
Jul 21 2020,293, 196
Jul 20 2020,180, 210
Jul 19 2020,0, 217
Jul 18 2020,263, 265
Jul 17 2020,50, 275
Jul 16 2020,223, 319
Jul 15 2020,363, 320
Jul 14 2020,393, 291
Jul 13 2020,224, 273
Jul 12 2020,339, 271
Jul 11 2020,331, 275
Jul 10 2020,358, 269
Jul 9 2020,231, 273
Jul 8 2020,161, 302
Jul 7 2020,267, 316
Jul 6 2020,209, 334
Jul 5 2020,369, 317
Jul 4 2020,291, 309
Jul 3 2020,386, 308
Jul 2 2020,428, 309
Jul 1 2020,261, 291
Jun 30 2020,395, 276
Jun 29 2020,90, 265
Jun 28 2020,309, 291
Jun 27 2020,289, 291
Jun 26 2020,388, 298
Jun 25 2020,304, 298
Jun 24 2020,158, 313
Jun 23 2020,319, 330
Jun 22 2020,273, 330
Jun 21 2020,308, 323
Jun 20 2020,338, 319
Jun 19 2020,389, 333
Jun 18 2020,404, 327
Jun 17 2020,277, 337
Jun 16 2020,323, 376
Jun 15 2020,222, 372
Jun 14 2020,278, 388
Jun 13 2020,439, 387
Jun 12 2020,348, 404
Jun 11 2020,470, 469
Jun 10 2020,550, 468
Jun 9 2020,299, 464
Jun 8 2020,333, 511
Jun 7 2020,271, 531
Jun 6 2020,557, 612
Jun 5 2020,806, 642
Jun 4 2020,462, 764
Jun 3 2020,523, 777
Jun 2 2020,627, 826
Jun 1 2020,473, 832
May 31 2020,837, 899
May 30 2020,764, 929
May 29 2020,1659, 875
May 28 2020,557, 816
May 27 2020,864, 890
May 26 2020,672, 964
May 25 2020,938, 1008
May 24 2020,1050, 1117
May 23 2020,385, 1145
May 22 2020,1247, 1259
May 21 2020,1073, 1253
May 20 2020,1386, 1263
May 19 2020,974, 1181
May 18 2020,1705, 1156
May 17 2020,1245, 1115
May 16 2020,1184, 1143
May 15 2020,1201, 1207
May 14 2020,1144, 1296
May 13 2020,817, 1381
May 12 2020,798, 1450
May 11 2020,1413, 1668
May 10 2020,1447, 1684
May 9 2020,1631, 1910
May 8 2020,1819, 2038
May 7 2020,1745, 2140
May 6 2020,1297, 2232
May 5 2020,2324, 2391
May 4 2020,1525, 2440
May 3 2020,3027, 2529
May 2 2020,2527, 2599
May 1 2020,2538, 2713
Apr 30 2020,2388, 2666
Apr 29 2020,2408, 2914
Apr 28 2020,2668, 3067
Apr 27 2020,2150, 3197
Apr 26 2020,3515, 3391
Apr 25 2020,3327, 3441
Apr 24 2020,2207, 3390
Apr 23 2020,4124, 3525
Apr 22 2020,3478, 3548
Apr 21 2020,3581, 3366
Apr 20 2020,3505, 3460
Apr 19 2020,3865, 3350
Apr 18 2020,2969, 3326
Apr 17 2020,3150, 3411
Apr 16 2020,4287, 3470
Apr 15 2020,2206, 3370
Apr 14 2020,4240, 3487
Apr 13 2020,2734, 3356
Apr 12 2020,3699, 3478
Apr 11 2020,3563, 3432
Apr 10 2020,3561, 3528
Apr 9 2020,3590, 3634
Apr 8 2020,3021, 3597
Apr 7 2020,3326, 3674
Apr 6 2020,3585, 3493
Apr 5 2020,3381, 3446
Apr 4 2020,4229, 3286
Apr 3 2020,4305, 3010
Apr 2 2020,3335, 2673
Apr 1 2020,3559, 2550
Mar 31 2020,2060, 2146
Mar 30 2020,3250, 1970
Mar 29 2020,2262, 1639
Mar 28 2020,2299, 1400
Mar 27 2020,1949, 1134
Mar 26 2020,2474, 876
Mar 25 2020,727, 568
Mar 24 2020,831, 487
Mar 23 2020,930, 381
Mar 22 2020,587, 259
Mar 21 2020,437, 183
Mar 20 2020,148, 123
Mar 19 2020,315, 102
Mar 18 2020,160, 58
Mar 17 2020,89, 36
Mar 16 2020,80, 24
Mar 15 2020,54, 13
Mar 14 2020,14, 5
Mar 13 2020,1, 4
Mar 12 2020,6, 4
Mar 11 2020,8, 3
Mar 10 2020,7, 2
Mar 9 2020,2, 1
Mar 8 2020,0, 1
Mar 7 2020,2, 1
Mar 6 2020,2, 1
Mar 5 2020,2, 0
Mar 4 2020,0, 0
Mar 3 2020,0, 0
Mar 2 2020,0, 0
Mar 1 2020,0, 0
Feb 29 2020,0, 0
Feb 28 2020,0, 0
Feb 27 2020,0, 0
Feb 26 2020,0, 0
Feb 25 2020,0, 0
Feb 24 2020,0, 0
Feb 23 2020,0, 0
Feb 22 2020,0, 0
Feb 21 2020,0, 0
Feb 20 2020,0, 0
Feb 19 2020,0, 0
Feb 18 2020,0, 0
Feb 17 2020,0, 0
Feb 16 2020,0, 0
Feb 15 2020,0, 0
Feb 14 2020,0, 0
Feb 13 2020,0, 0
Feb 12 2020,0, 0
Feb 11 2020,0, 0
Feb 10 2020,0, 0
Feb 9 2020,0, 0
Feb 8 2020,0, 0
Feb 7 2020,0, 0
Feb 6 2020,0, 0
Feb 5 2020,0, 0
Feb 4 2020,0, 0
Feb 3 2020,0, 0
Feb 2 2020,0, 0
Feb 1 2020,0, 0
Jan 31 2020,0, 0
Jan 30 2020,0, 0
Jan 29 2020,0, 0
Jan 28 2020,0, 0
Jan 27 2020,0, 0
Jan 26 2020,0, 0
Jan 25 2020,0, 0
Jan 24 2020,0, 0
Jan 23 2020,0, 0
Jan 22 2020,0, 0
