New Case Trends - New York City*,,,
Date generated: Tue Aug 04 2020 21:08:22 GMT-0400 (Eastern Daylight Time),,,
,,,
Date,New Cases,,New Cases (NYC + rest of NY)
Aug 3 2020,318,304,622
Aug 2 2020,189,268,457
Aug 1 2020,199,441,640
Jul 31 2020,314,359,673
Jul 30 2020,286,465,751
Jul 29 2020,317,413,730
Jul 28 2020,309,336,645
Jul 27 2020,425,318,743
Jul 26 2020,222,307,529
Jul 25 2020,90,410,500
Jul 24 2020,529,393,922
Jul 23 2020,157,423,580
Jul 22 2020,360,355,715
Jul 21 2020,651,464,1115
Jul 20 2020,0,235,235
Jul 19 2020,319,204,523
Jul 18 2020,271,367,638
Jul 17 2020,331,409,740
Jul 16 2020,334,384,718
Jul 15 2020,394,465,859
Jul 14 2020,369,597,966
Jul 13 2020,270,307,577
Jul 12 2020,277,336,613
Jul 11 2020,328,423,751
Jul 10 2020,330,435,765
Jul 9 2020,317,309,626
Jul 8 2020,391,403,794
Jul 7 2020,198,316,514
Jul 6 2020,312,271,583
Jul 5 2020,207,294,501
Jul 4 2020,294,358,652
Jul 3 2020,348,458,806
Jul 2 2020,439,448,887
Jul 1 2020,359,329,688
Jun 30 2020,343,284,627
Jun 29 2020,215,202,417
Jun 28 2020,222,300,522
Jun 27 2020,348,339,687
Jun 26 2020,315,434,749
Jun 25 2020,384,398,782
Jun 24 2020,327,289,616
Jun 23 2020,286,282,568
Jun 22 2020,332,257,589
Jun 21 2020,245,279,524
Jun 20 2020,558,325,883
Jun 19 2020,4989,386,5375
Jun 18 2020,0,299,299
Jun 17 2020,284,217,501
Jun 16 2020,5456,299,5755
Jun 15 2020,443,239,682
Jun 14 2020,284,309,593
Jun 13 2020,476,377,853
Jun 12 2020,0,385,385
Jun 11 2020,440,337,777
Jun 10 2020,382,249,631
Jun 9 2020,425,343,768
Jun 8 2020,330,318,648
Jun 7 2020,444,323,767
Jun 6 2020,5688,537,6225
Jun 5 2020,510,541,1051
Jun 4 2020,513,514,1027
Jun 3 2020,0,550,550
Jun 2 2020,5731,716,6447
Jun 1 2020,0,480,480
May 31 2020,5662,558,6220
May 30 2020,855,624,1479
May 29 2020,0,603,603
May 28 2020,781,685,1466
May 27 2020,894,462,1356
May 26 2020,731,502,1233
May 25 2020,5920,641,6561
May 24 2020,0,732,732
May 23 2020,6248,990,7238
May 22 2020,1111,887,1998
May 21 2020,0,963,963
May 20 2020,456,796,1252
May 19 2020,6082,883,6965
May 18 2020,665,613,1278
May 17 2020,0,896,896
May 16 2020,7392,1176,8568
May 15 2020,1555,950,2505
May 14 2020,1087,1095,2182
May 13 2020,887,1049,1936
May 12 2020,0,664,664
May 11 2020,657,720,1377
May 10 2020,4896,1145,6041
May 9 2020,2680,1209,3889
May 8 2020,1377,1371,2748
May 7 2020,1421,1626,3047
May 6 2020,1565,1309,2874
May 5 2020,1189,1016,2205
May 4 2020,0,1218,1218
May 3 2020,3651,1461,5112
May 2 2020,2378,1999,4377
May 1 2020,2293,1730,4023
Apr 30 2020,2347,2044,4391
Apr 29 2020,2152,2082,4234
Apr 28 2020,1613,1261,2874
Apr 27 2020,2896,1720,4616
Apr 26 2020,2628,2757,5385
Apr 25 2020,4437,5913,10350
Apr 24 2020,0,3512,3512
Apr 23 2020,7704,2821,10525
Apr 22 2020,0,2419,2419
Apr 21 2020,3561,1659,5220
Apr 20 2020,5086,2356,7442
Apr 19 2020,1766,2802,4568
Apr 18 2020,5874,3258,9132
Apr 17 2020,4583,3152,7735
Apr 16 2020,1492,3661,5153
Apr 15 2020,5982,3734,9716
Apr 14 2020,3278,3475,6753
Apr 13 2020,3605,2782,6387
Apr 12 2020,4900,3336,8236
Apr 11 2020,5552,4022,9574
Apr 10 2020,8593,5218,13811
Apr 9 2020,2360,5397,7757
Apr 8 2020,4927,5616,10543
Apr 7 2020,8100,0,8100
Apr 6 2020,3821,17844,21665
Apr 5 2020,4105,4082,8187
Apr 4 2020,4561,4694,9255
Apr 3 2020,6582,5132,11714
Apr 2 2020,1245,4299,5544
Apr 1 2020,6691,3617,10308
Mar 31 2020,3684,3612,7296
Mar 30 2020,4613,3299,7912
Mar 29 2020,2718,3193,5911
Mar 28 2020,4059,3315,7374
Mar 27 2020,3585,3372,6957
Mar 26 2020,3101,2910,6011
Mar 25 2020,4414,2194,6608
Mar 24 2020,2478,2191,4669
Mar 23 2020,4074,2447,6521
Mar 22 2020,2834,1978,4812
Mar 21 2020,1060,1451,2511
Mar 20 2020,0,1011,1011
Mar 19 2020,1597,640,2237
Mar 18 2020,1683,313,1996
Mar 17 2020,1527,243,1770
Mar 16 2020,75,87,162
Mar 15 2020,119,89,208
Mar 14 2020,55,44,99
Mar 13 2020,0,37,37
Mar 12 2020,42,66,108
Mar 11 2020,17,27,44
Mar 10 2020,19,12,31
Mar 9 2020,5,97,102
Mar 8 2020,10,0,10
Mar 7 2020,0,7,7
Mar 6 2020,0,9,9
Mar 5 2020,1,11,12
Mar 4 2020,0,1,1
Mar 3 2020,0,0,0
Mar 2 2020,1,0,1
Mar 1 2020,0,0,0
Feb 29 2020,0,0,0
Feb 28 2020,0,0,0
Feb 27 2020,0,0,0
Feb 26 2020,0,0,0
Feb 25 2020,0,0,0
Feb 24 2020,0,0,0
Feb 23 2020,0,0,0
