New Case Trends - Pennsylvania
Date generated: Tue Aug 04 2020 20:53:46 GMT-0400 (Eastern Daylight Time)

Date,New Cases,7-Day Moving Avg
Aug 3 2020,565, 682
Aug 2 2020,654, 761
Aug 1 2020,0, 787
Jul 31 2020,888, 902
Jul 30 2020,970, 925
Jul 29 2020,860, 960
Jul 28 2020,834, 975
Jul 27 2020,1120, 946
Jul 26 2020,839, 932
Jul 25 2020,800, 914
Jul 24 2020,1054, 912
Jul 23 2020,1213, 870
Jul 22 2020,962, 845
Jul 21 2020,631, 819
Jul 20 2020,1027, 871
Jul 19 2020,711, 857
Jul 18 2020,786, 823
Jul 17 2020,763, 793
Jul 16 2020,1032, 800
Jul 15 2020,781, 797
Jul 14 2020,994, 788
Jul 13 2020,929, 767
Jul 12 2020,476, 777
Jul 11 2020,577, 773
Jul 10 2020,813, 759
Jul 9 2020,1009, 734
Jul 8 2020,719, 685
Jul 7 2020,849, 701
Jul 6 2020,995, 670
Jul 5 2020,450, 617
Jul 4 2020,479, 623
Jul 3 2020,634, 626
Jul 2 2020,667, 624
Jul 1 2020,832, 615
Jun 30 2020,636, 579
Jun 29 2020,618, 631
Jun 28 2020,492, 543
Jun 27 2020,505, 538
Jun 26 2020,621, 532
Jun 25 2020,600, 515
Jun 24 2020,579, 505
Jun 23 2020,1005, 482
Jun 22 2020,0, 386
Jun 21 2020,456, 438
Jun 20 2020,464, 467
Jun 19 2020,504, 401
Jun 18 2020,526, 395
Jun 17 2020,418, 418
Jun 16 2020,335, 425
Jun 15 2020,362, 435
Jun 14 2020,659, 454
Jun 13 2020,0, 410
Jun 12 2020,463, 482
Jun 11 2020,686, 516
Jun 10 2020,467, 482
Jun 9 2020,410, 492
Jun 8 2020,493, 506
Jun 7 2020,351, 523
Jun 6 2020,506, 524
Jun 5 2020,701, 524
Jun 4 2020,443, 521
Jun 3 2020,537, 557
Jun 2 2020,511, 570
Jun 1 2020,612, 608
May 31 2020,356, 585
May 30 2020,511, 602
May 29 2020,680, 633
May 28 2020,693, 640
May 27 2020,625, 804
May 26 2020,780, 783
May 25 2020,451, 710
May 24 2020,473, 850
May 23 2020,730, 872
